TYPE,NAME,ADDRESS,COMM_CODE
City Park,Riveredge Park,4500 14A ST SW,EPK
Arena,Rose Kohn/Jimmie Condon Arenas,502 HERITAGE DR SW,KIN
City Park,Rotary Park,617 1 ST NE,CRE
Outdoor Pool,Rotary Park Wading Pool,617 1 ST NE,CRE
City Park,Rouleauville Square,17 AV SW & 1 ST SW,MIS
Off Leash Dog Area,SADDLE RIDGE INDUSTRIAL,4420 72 AV NE,SRI
Indoor Pool,SAIT,1301 16 AV NW,HIL
Arena,SAIT Arena (Campus Centre),1414C SAIT WY NW,HIL
Off Leash Dog Area,SANDSTONE VALLEY,24 SANDERLING CL NW,SAN
Off Leash Dog Area,SANDSTONE VALLEY,1880 BERKSHIRE BV NW,SAN
Off Leash Dog Area,SANDSTONE VALLEY,80R SANDARAC DR NW,SAN
Off Leash Dog Area,SCARBORO,2212 17 AV SW,SCA
Off Leash Dog Area,SCARBORO,1628 SHELBOURNE ST SW,SCA
Off Leash Dog Area,SCARBORO/ SUNALTA WEST,1616 22 ST SW,SSW
Off Leash Dog Area,SCENIC ACRES,8611 CROWCHILD TR NW,SCE
Off Leash Dog Area,INGLEWOOD,2226 16 ST SE,ING
Off Leash Dog Area,INGLEWOOD,2255 15A ST SE,ING
City Park,Inglewood Bird Sanctuary,2425 9 AV SE,ING
Golf Course,Inglewood Golf & Curling Club,34 AVE & BARLOW TR SE,DOV
Indoor Pool,Inglewood Pool,1527 17 AV SE,AYB
Arena,Jack Setters Arena,2020 69 AV SE,OGD
City Park,James Short Park,115 4 AV SW,DNC
Off Leash Dog Area,KINGSLAND,499 78 AV SW,KIN
Indoor Pool,Killarney Aquatic & Recreation Centre,1919 29 ST SW,KIL
Leisure Centre,Killarney Aquatic & Recreation Centre,1919 29 ST SW,KIL
Off Leash Dog Area,LAKE BONAVISTA,12446 LAKE FRASER DR SE,LKB
Off Leash Dog Area,LAKE BONAVISTA,12008 LAKE EMERALD CR SE,LKB
Off Leash Dog Area,LAKE BONAVISTA,915 LAKE ONTARIO DR SE,LKB
Off Leash Dog Area,LAKEVIEW,3129 GLENMORE TR SW,LKV
Arena,Lake Bonavista Community Centre,1401 ACADIA DR SE,LKB
Recycle Depot,Lakeview,6449 Crowchild TR SW,LKV
Golf Course,Lakeview Golf Course,5840 19 ST SW,GPK
City Park,Lowery Gardens,Between DOUGLAS FIR TR SW & THE PUMPHOUSE THEATRE,SHG
Golf Course,Lynx Ridge Golf Club,8 LYNX RIDGE BV NW (Bearspaw),01F
Off Leash Dog Area,MAPLE RIDGE,9820 15 ST SE,MPL
Off Leash Dog Area,MAPLE RIDGE,1127 MAPLEGLADE DR SE,MPL
Off Leash Dog Area,MARLBOROUGH,1448 MARDALE WY NE,MRL
Off Leash Dog Area,MARLBOROUGH PARK,16 AV NE / 68 ST NE,MPK
Off Leash Dog Area,MAYLAND HEIGHTS,325 19 ST NE,MAL
Off Leash Dog Area,MAYLAND HEIGHTS,320 19 ST NE,MAL
Off Leash Dog Area,MCCALL,3735 11A ST NE,MCI
Off Leash Dog Area,MONTGOMERY,4707 MONTALBAN DR NW,MON
Off Leash Dog Area,MONTGOMERY,3225 MACKAY RD NW,MON
Recycle Depot,Macleod,9630 Macleod TR SE,ACA
Recycle Depot,Manchester,Dartmouth Rd,MNI
Golf Course,Maple Ridge Golf Course,1240 MAPLEGLADE DR SE,MPL
Recycle Depot,Market Mall,3625 Shaganappi TR NW,VAR
Police Service,Market Mall Community Station,3625 SHAGANAPPI TR NW,VAR
Recycle Depot,Marlborough,500 Block of 36 ST NE,MRL
Arena,Max Bell Centre,1001 BARLOW TR NE,ALB
Golf Course,McCall Lake Golf Course,1600 32 AV NE,MCI
City Park,McHugh Bluff Natural Park,"Along CRESCENT RD NW, between 10 ST NW & CENTRE ST N",RDL
Golf Course,McKenzie Meadows Golf Club,17215 MCKENZIE MEADOWS DR SE,FPK
Recycle Depot,McKenzie Towne,20 McKenzie Towne AV SE,MCT
Recycle Depot,Midnapore Sundance,Bannister RD and 153 AVSE,MID
Outdoor Pool,Millican-Ogden Outdoor Pool,6901 20A ST SE,OGD
Recycle Depot,Millrise,150 Millrise Blvd SW,MLR
Recycle Depot,Monterey,2220 68 ST NE,MOR
Arena,Mount Pleasant Community Sportsplex,2408 6 ST NW,ALB
Outdoor Pool,Mount Pleasant Outdoor Pool,2310 6 ST NW,MOP
Indoor Pool,Mount Royal University,4825 RICHARD RD SW,LPK
Arena,Murray Copot Arena,6715 CENTER ST NW,HUN
Off Leash Dog Area,NORTH HAVEN UPPER,72 NIVEN PL NW,NHU
Off Leash Dog Area,NOSE HILL PARK,8108 SHAGANAPPI TR NW,NPK
City Park,Nat Christie Park,14 ST SW & Bow TR SW,DNW
City Park,North Capitol Hill Park (Canmore Park),19 ST NW & CHICOUTIMI DR NW,CHW
Recycle Depot,North Hill,1901 16 AV NW,HOU
Art Centre,North Mount Pleasant Arts Centre,523 27 AV NW,MOP
Leisure Centre,Nose Creek Recreation Centre,11950 COUNTRY VILLAGE LI NE,CHV
City Park,Nose Hill Natural Park,5620 14 ST NW,NPK
Off Leash Dog Area,OGDEN,1003 LYSANDER DR SE,OGD
Off Leash Dog Area,OGDEN,1951 69 AV SE,OGD
Off Leash Dog Area,OGDEN,7120 20A ST SE,OGD
Off Leash Dog Area,OGDEN,7824 22 ST SE,OGD
Off Leash Dog Area,OGDEN,104R OGMOOR CR SE,OGD
Recycle Depot,Oakridge,2580 Southland DR SW,OAK
Arena,Oakridge Community Association,9504 OAKFIELD DR SW,OAK
Recycle Depot,Ogden,7740 18 ST SE,OGD
Arena,Olympic Oval - University Of Calgary,184 UNIVERSITY GATE NW,UOC
City Park,Olympic Plaza,228 8 AV SE,DNC
Outdoor Pool,Olympic Plaza Reflecting Pool,228 8 AV SE,DNC
Athletic Park,Optimist Athletic Park,5020 26 AV SW,GDL
Arena,Optimist/George Blundun Arenas,5020 26 AV SW,GDL
Off Leash Dog Area,PARKLAND,14220 PARKLAND BV SE,PKL
Off Leash Dog Area,PINERIDGE,6127 PINECREST WY NE,PIN
Off Leash Dog Area,PUMP HILL,344 PUMP HILL GD SW,PUM
City Park,Peace Park,2 AV SW & 8 ST SW,EAU
City Park,Pearce Estates Wetland,1440 17A ST SE,ING
Arena,Pengrowth Saddledome,555 SADDLEDOME RI SE,BLN
Golf Course,Pinebrook Golf & Country Club,166 PINEBROOK WY SW (Elbow Valley),06A
Police Service,Police Headquarters,133 6 AV SE,DNC
Athletic Park,Pop Davies Athletic Park,6415 OGDEN RD SW,OGD
Outdoor Pool,Prairie Winds Outdoor Wading Pool,223 CASTLERIDGE BV NE,WES
City Park,Prarie Winds,223 CASTLERIDGE BV NE,WES
City Park,Prince's Island,4 ST SW & 1 AV SW,EAU
Off Leash Dog Area,QUEENSLAND,48R QUEEN ALEXANDRA CL SE,QLD
Off Leash Dog Area,QUEENSLAND,340R QUEEN ANNE WY SE,QLD
Cemetery,Queen's Park Cemetery,32 AV NW & 4 ST NW,MOP
Off Leash Dog Area,RAMSAY,811 MACDONALD AV SE,RAM
Off Leash Dog Area,RAMSAY,1901 SALISBURY ST SE,RAM
Off Leash Dog Area,RANCHLANDS,200 RANCH ESTATES DR NW,RAN
Off Leash Dog Area,RANCHLANDS,655 RANCHLANDS BV NW,RAN
Off Leash Dog Area,RANCHLANDS,239 RANCH ESTATES DR NW,RAN
Police Service,RCMP Southern Alberta,920 16 AV NW,WIN
Off Leash Dog Area,RENFREW,1020 ROBERT RD NE,REN
Off Leash Dog Area,RENFREW,1638 CENTRE AV NE,REN
Off Leash Dog Area,SCENIC ACRES,8611 CROWCHILD TR NW,SCE
Off Leash Dog Area,SCENIC ACRES,8611 CROWCHILD TR NW,SCE
Leisure Centre,Southland Leisure Centre,2000 SOUTHLAND DR SW,PAL
City Park,Southland Natural Park,SOUTHLAND DR SE & DEERFOOT TR SE,MPL
Golf Course,Springbank Links at Emerald Bay,125 HUCKAMORE TR (Springbank),01H
Recycle Depot,Spruce Cliff,3400 Block of Spruce DR SW,SPR
