TYPE,NAME,ADDRESS,COMM_CODE
Leisure Centre,South Fish Creek Recreation Centre,100 333 SHAWVILLE BV SE,SHN
Arena,South Fish Creek Recreation Centre,333 SHAWVILLE BV SE,SHN
Off Leash Dog Area,BEDDINGTON HEIGHTS,172 BERMUDA DR NW,BED
Off Leash Dog Area,BEDDINGTON HEIGHTS,420 BERNARD ME NW,BED
Off Leash Dog Area,BEDDINGTON HEIGHTS,300 BERMUDA DR NW,BED
Indoor Pool,Canyon Meadows Pool & Fitness Centre,89 CANOVA RD SW,CAN
City Park,Carburn Natural Park,8925 15 ST SE,RIV
Indoor Pool,Cardel Place/Nose Creek Recreation Centre,11950 COUNTRY HILLS VILLAGE LK NE,CHV
Arena,Cardel Place/Nose Creek Recreation Centre,11950 COUNTRY HILLS VILLAGE LK NE,CHV
Golf Course,Carnmoney Golf & Country Club,S HWY 2 E DUNBOW RD (DeWinton),LEG
Recycle Depot,Castleridge,55 Castleridge BV NE,WES
City Park,Centenary Park,MEMORIAL DR SE & BAINES BRIDGE,BRD
City Park,Central Memorial Park,4 ST SW & 13 AV SW,BLN
City Park,Century Gardens,8 AV SW & 8 ST SW,DNC
Cemetery,Chinese Cemetery,MACLEOD TR SW & 31 AV SW,ERL
Recycle Depot,Chinook,6455 Macleod TR SW,MEA
Police Service,Chinook Centre Mall Community Station,6455 MACLEOD TR S,MEA
City Park,Confederation Park,24 AV NW & 14 ST NW to 30 AV NW & 10 ST NW,CAP
Recycle Depot,Confederation Park,2807 10 ST NW,CAP
Golf Course,Confederation Park Golf Course,3204 COLLINGWOOD DR NW,COL
Recycle Depot,Connaught,813 11 AV SW,BLN
City Park,Connaught Park,11 ST & 14 AV SW,BLN
Golf Course,Cottonwood Golf & Country Club,S HWY 2 E DUNBOW RD (DeWinton),LEG
Golf Course,Country Club of the Hamptons,69 HAMPTONS DR NW,HAM
Recycle Depot,Country Hills,11622 Harvest Hills BV NE,CHV
Golf Course,Country Hills Golf Club,1334 COUNTRY HILLS BV NW,PAN
Arena,Crowchild Twin Arenas,189 SCENIC ACRES DR NW,SCE
Recycle Depot,Crowfoot,90 Crowfoot WY NW,ARB
Arena,Crowfoot Arena,8080 JOHN LAURIE BV NW,ARB
Indoor Pool,Crowfoot YMCA,8100 JOHN LAURIE BV NW,ARB
Off Leash Dog Area,DALHOUSIE,4616 DALHOUSIE DR NW,DAL
Off Leash Dog Area,DALHOUSIE,6015R DALCASTLE CR NW,DAL
Off Leash Dog Area,DEER RIDGE,14620 DEER RIDGE DR SE,DRG
Off Leash Dog Area,DOVER,150 GOSLING WY SE,DOV
Recycle Depot,Dalhousie Station,5005 Dalhousie DR NW,DAL
Recycle Depot,Deer Valley,1221 Canyon Meadows DR SE,DRG
City Park,Devonian Gardens,317 7 AV SW (4th Level TD Square) - temporarily closed for renovations,DNC
Police Service,District 1 Office (Ramsay),1010 26 AV SE,AYB
Police Service,District 2 Office (Rosscarrock),4506 17 AV SW,RCK
Police Service,District 3 Office (Nose Hill),4303 14 ST NW,NPK
Police Service,District 4 Office (Franklin),3207 12 AV NE,FRA
Police Service,District 5 Office (Temple),5401 TEMPLE DR NE,TEM
Police Service,District 6 Office (Heritage),8325 BONAVENTURE DR SE,ACA
Police Service,District 7 Office (Country Hills Village),11955 COUNTRY VILLAGE LI NE,CHV
Police Service,District 8 Office (Midnapore),450 MIDPARK WY SE,MID
Arena,Don Hartman North East Sportsplex,5206 68 ST NE,COR
Recycle Depot,Douglasdale,11520 24 ST SE,SHI
Golf Course,Douglasdale Eaglequest Golf Course,7 DOUGLAS WOODS DR SE,DDG
Off Leash Dog Area,BONAVISTA DOWNS,58 LAKE HURON PL SE,BDO
Off Leash Dog Area,BRENTWOOD,5307 BARRETT DR NW,BRE
Off Leash Dog Area,BRENTWOOD,3387R BRETON CL NW,BRE
Off Leash Dog Area,BRIDGELAND/RIVERSIDE,53 6A ST NE,BRD
Off Leash Dog Area,BRIDGELAND/RIVERSIDE,25 ST GEORGES DR NE,BRD
Off Leash Dog Area,BRITANNIA,4215 8 ST SW,BRT
City Park,Baker Park ,9333 SCENIC BOW RD NW,SCE
City Park,Barclay Mall (Eau Claire Plaza),3 ST SW & RIVERFRONT AV SW,EAU
Outdoor Pool,Barclay Mall Outdoor Wading Pool,380 RIVERFRONT AV SW,EAU
City Park,Battalion Park,3001 SIGNAL HILL DR SW,SIG
Recycle Depot,Beacon Hill,11320 Sarcee TR NW,SHW
Golf Course,Bearspaw Golf & Country Club,61 HAMILTON DR (Bearspaw),ROC
City Park,Beaulieu Gardens,707 13 AV SW,BLN
City Park,Beaverdam Flats Natural Park,62 AV SE & 16 ST SE,OGD
Recycle Depot,Beddington,8120 Beddington BV NW,BED
Indoor Pool,Beltline Pool & Fitness Centre,221 12 AV SW,BLN
City Park,Big Marlborough Park,6033 MADIGAN DR NE,MPK
Indoor Pool,Bob Bahan Pool & Fitness Centre,4812 14 AV SE,FLN
City Park,Bottomlands Park,300 800 ST GEORGES DR NE,REN
City Park,Bowmont Park,65 ST NW & 48 AV NW,SIL
Recycle Depot,Bowness,7937 43 AV NW,BOW
Arena,Bowness Community Centre,7809 43 AV NW,BOW
City Park,Bowness Park,8900 48 AV NW,BOW
Outdoor Pool,Bowview Outdoor Pool,1910 6 AV NW,WHL
Police Service,Brae Centre Community Station,11430 BRAESIDE DR SW,BRA
Arena,Brentwood SportsPlex,NORTHMOUNT DR & 35 ST NW,BRE
Recycle Depot,Bridgeland,7 11 ST NE,BRD
Recycle Depot,Bridlewood,2335 162 AV SW,BRI
Golf Course,Buffalo Run Golf Course,3700 ANDERSON RD SW,CED
Athletic Park,Burns Stadium,2255 CROWCHILD TR NW,UOC
Cemetery,Burnsland Cemetery,SPILLER RD SE & CEMETERY RD SE,MNI
Off Leash Dog Area,CAMBRIAN HEIGHTS,1407 JOHN LAURIE BV NW,CAM
Off Leash Dog Area,CAMBRIAN HEIGHTS,3625 10 ST NW,CAM
Off Leash Dog Area,CAMBRIAN HEIGHTS,3425 10 ST NW,CAM
Off Leash Dog Area,CANYON MEADOWS,ANDERSON RD SW / ELBOW DR SW,CAN
Off Leash Dog Area,CEDARBRAE,3625 98 AV SW,CED
Off Leash Dog Area,CHARLESWOOD,3215 CONRAD DR NW,CHW
Off Leash Dog Area,CHINATOWN,316 RIVERFRONT AV SE,CHN
Off Leash Dog Area,CHRISTIE PARK,1600 SARCEE TR SW,CHR
Off Leash Dog Area,CLIFF BUNGALOW,2413 CLIFF ST SW,CLI
Off Leash Dog Area,COACH HILL,6204 COACH HILL RD SW,COA
